loc;cam;ph;p;k;ca;mg;al;ctc;sat;mo;arg;are;cas;acc
28;[40, 80);7.1;5.99;143.09;2.6;1.49;0;5.94;74.97;12.8;424.7;487.5;118.7;548.31
29;[0, 5);7.2;5.15;151.79;8.88;1.75;0;12.51;88.11;56.5;219.6;684.5;58.1;702.82
29;[5, 40);6.4;0.2;61.7;3.73;1.54;0;7.5;72.34;15.6;331.9;560.5;46.2;580.81
29;[40, 80);7.1;0.01;132.04;2.85;1.3;0;6.15;72.97;9;426.2;445;66.8;482.06
30;[0, 5);7.3;4.56;43.35;6.65;1.42;0;9.44;86.66;40.6;346.3;554;20.6;563.18
30;[5, 40);5.6;0.21;14.45;2.3;0.8;0;5.21;60.18;13.8;319.4;609;27.1;619.61
30;[40, 80);6.4;0.01;8.26;2.49;0.46;0;4.67;63.61;7.6;488.6;447.5;27.8;462.88
31;[0, 5);6.4;2.23;107.36;6.3;2.87;0;11.52;81.98;38.3;331.2;484;91.3;531.11
31;[5, 40);5.7;0.59;40.73;3.85;3.41;0;11.88;61.98;26.8;353.5;471.5;84.7;516.26
31;[40, 80);6.1;0.2;66.64;2.33;1.63;0;6.72;61.44;13.3;490.7;359;68.1;402.65
32;[0, 5);6.3;4.66;75.27;3.77;3.35;0;9.9;73.83;22;220.4;653;29.4;663.2
32;[5, 40);5.3;3.12;19.74;2.72;0.02;0;7.29;38.01;14.3;312.8;563.5;36.6;579.47
32;[40, 80);5.3;0.87;13.57;1.49;0.11;0.2;5.25;31.12;10.1;481.5;419.5;32.6;438.42
33;[0, 5);6.5;2.84;54.29;7.65;1.3;0;11.68;77.81;8.5;287.9;536;34.7;552.11
33;[5, 40);6.7;0.01;26.58;5.6;0.65;0;8.91;70.91;36.3;349.3;532.5;25;544.21
33;[40, 80);7.4;0.01;21.89;4.18;0.71;0;6.61;74.86;13.6;554.1;343;41.8;370.47
34;[0, 5);7;5.86;103.18;11;3.41;0;16.34;89.83;93.6;452.1;399;44;425.45
34;[5, 40);6.5;1.6;34.39;6.51;3.95;0;13.44;78.45;40.4;456.3;404.5;63.1;442.07
34;[40, 80);6.1;0.31;18.76;2.79;1.9;0;7.33;64.64;15.6;529.8;347;78.2;398.04
35;[0, 5);5.8;2.23;62.54;2.26;0.68;0;5.7;54.51;22.6;143.5;773;96.7;794.95
35;[5, 40);4.9;0.01;39.08;0.68;0.79;0.4;4.81;32.7;6.9;284.2;619.5;270.4;722.41
35;[40, 80);5.2;0.01;42.21;0.79;0.38;0.4;4.9;26.11;7.6;385.8;564.5;197.2;650.4
36;[0, 5);6.2;3.4;75.04;3.12;0.93;0;5.91;71.85;25.1;127.5;703.5;124.3;740.34
36;[5, 40);5.2;0.01;34.39;1.05;1.16;0.2;4.62;49.83;8.5;260.8;641;250.2;730.83
36;[40, 80);5.3;0.01;35.96;1;0.96;0.2;4.38;47.02;7.4;381.9;583.5;379.7;755.65
37;[0, 5);5.5;4.57;54.3;1.71;0.78;0;5.87;44.82;21.6;279.4;681.5;383.7;814.81
37;[5, 40);5.6;0.87;33.32;2;0.39;0.1;5.37;46.08;11.6;276.8;608.5;552.9;911.41
37;[40, 80);5.9;0.01;30.86;2;0.59;0;4.99;53.5;10.9;451.9;382;346.6;599.85
38;[0, 5);5.8;1.79;42.86;4.33;0.98;0;8.66;62.62;34.6;286.4;582;17.5;589.31
38;[5, 40);5.3;0.63;14.29;0.91;0.67;0.3;5.24;30.95;13.8;412.2;477;20.5;487.7
