unid;rept;metodo;arg;sil;argsil;are1;are2;are3;are4;are5;silic;alumi;ferro;co;dp;ds
8;2;Boy;496;162;658;2;23;140;130;47;90;179;298;12.9;2.92;1.0338486112
8;3;Boy;496;162;658;2;23;140;130;47;90;179;298;13.3;2.92;0.9843100928
8;4;Boy;496;162;658;2;23;140;130;47;90;179;298;13.1;2.92;0.8810435823
9;1;Boy;549;184;733;1;17;109;101;39;87;205;245;12.4;2.92;0.9559038624
9;2;Boy;549;184;733;1;17;109;101;39;87;205;245;12.2;2.92;0.972405761
9;3;Boy;549;184;733;1;17;109;101;39;87;205;245;12.5;2.92;0.8994906824
9;4;Boy;549;184;733;1;17;109;101;39;87;205;245;12.5;2.92;0.9678301287
10;1;Boy;765;120;885;0;4;47;50;13;180;344;105;10.3;2.69;0.8108130937
10;2;Boy;765;120;885;0;4;47;50;13;180;344;105;9.9;2.69;0.7866817746
10;3;Boy;765;120;885;0;4;47;50;13;180;344;105;11;2.69;0.8063096973
10;4;Boy;765;120;885;0;4;47;50;13;180;344;105;10.4;2.69;0.7741652561
1;1;Pip;152;25;177;1;21;343;433;25;24;67;38;3.5;2.66;1.3409545836
1;2;Pip;152;25;177;0.5651289638;20.8099297237;343.2620874156;432.9437574178;24.9181002009;24;67;38;3.2;2.66;1.3542595972
1;3;Pip;152;25;177;0.5651289638;20.8099297237;343.2620874156;432.9437574178;24.9181002009;24;67;38;3.3;2.66;1.381520281
1;4;Pip;152;25;177;0.5651289638;20.8099297237;343.2620874156;432.9437574178;24.9181002009;24;67;38;3.4;2.66;1.3167508001
2;1;Pip;202.5830258303;41.7822878229;244.3653136531;0;55.7103321033;290.7066420664;359.5848708487;49.6328413284;34;85;85;4.1;2.76;1.299822583
2;2;Pip;202.5830258303;41.7822878229;244.3653136531;0;55.7103321033;290.7066420664;359.5848708487;49.6328413284;34;85;85;4.2;2.76;1.2482246875
2;3;Pip;202.5830258303;41.7822878229;244.3653136531;0;55.7103321033;290.7066420664;359.5848708487;49.6328413284;34;85;85;4;2.76;1.3260476441
2;4;Pip;202.5830258303;41.7822878229;244.3653136531;0;55.7103321033;290.7066420664;359.5848708487;49.6328413284;34;85;85;4;2.76;1.1656472546
3;1;Pip;264.237037037;43.6651851852;307.9022222222;0;8.1303703704;178.8681481481;454.2844444444;50.8148148148;24;113;116;5;2.75;1.2609260003
3;2;Pip;264.237037037;43.6651851852;307.9022222222;0;8.1303703704;178.8681481481;454.2844444444;50.8148148148;24;113;116;5.1;2.75;1.2241738376
3;3;Pip;264.237037037;43.6651851852;307.9022222222;0;8.1303703704;178.8681481481;454.2844444444;50.8148148148;24;113;116;5;2.75;1.1968076209
3;4;Pip;264.237037037;43.6651851852;307.9022222222;0;8.1303703704;178.8681481481;454.2844444444;50.8148148148;24;113;116;4.9;2.75;1.2088708814
4;1;Pip;311.3965390631;70.505328191;381.9018672541;0.3905983884;14.3863684503;174.1962362862;385.0697902437;44.0551393773;62;147;68;4.5;2.76;1.1569950883
