biocar;dosep;bloc;tens;umid
SP_B;24;I;1500;0.093
SP_B;24;II;0;0.452
SP_B;24;II;1;0.413
SP_B;24;II;2;0.366
SP_B;24;II;4;0.301
SP_B;24;II;6;0.213
SP_B;24;II;8;0.176
SP_B;24;II;10;0.159
SP_B;24;II;33;0.095
SP_B;24;II;66;0.088
SP_B;24;II;100;0.085
SP_B;24;II;300;0.084
SP_B;24;II;1500;0.072
SP_B;24;III;0;0.438
SP_B;24;III;1;0.394
SP_B;24;III;2;0.382
SP_B;24;III;4;0.304
SP_B;24;III;6;0.233
SP_B;24;III;8;0.149
SP_B;24;III;10;0.141
SP_B;24;III;33;0.124
SP_B;24;III;66;0.124
SP_B;24;III;100;0.109
SP_B;24;III;300;0.108
SP_B;24;III;1500;0.101
SP_B;48;I;0;0.48
SP_B;48;I;1;0.433
SP_B;48;I;2;0.382
SP_B;48;I;4;0.355
SP_B;48;I;6;0.287
SP_B;48;I;8;0.224
SP_B;48;I;10;0.212
SP_B;48;I;33;0.133
SP_B;48;I;66;0.124
SP_B;48;I;100;0.125
SP_B;48;I;300;0.117
SP_B;48;I;1500;0.101
SP_B;48;II;0;0.464
SP_B;48;II;1;0.427
SP_B;48;II;2;0.402
SP_B;48;II;4;0.317
SP_B;48;II;6;0.253
SP_B;48;II;8;0.195
SP_B;48;II;10;0.165
SP_B;48;II;33;0.119
SP_B;48;II;66;0.119
SP_B;48;II;100;0.11
SP_B;48;II;300;0.104
SP_B;48;II;1500;0.093
SP_B;48;III;0;0.466
SP_B;48;III;1;0.424
SP_B;48;III;2;0.415
SP_B;48;III;4;0.351
SP_B;48;III;6;0.288
SP_B;48;III;8;0.217
SP_B;48;III;10;0.197
SP_B;48;III;33;0.127
SP_B;48;III;66;0.127
SP_B;48;III;100;0.118
SP_B;48;III;300;0.112
SP_B;48;III;1500;0.103
SP_B;96;I;0;0.459
SP_B;96;I;1;0.411
SP_B;96;I;2;0.399
SP_B;96;I;4;0.346
SP_B;96;I;6;0.263
