solo;tensao;posi;prof;rep;dsi;dsp;thetai;ppc;trt;ue
LVd;33;Linha;0.10-0.15 m;3;0.87;0.93;0.3595714286;159.9572;LVd_Linha_0.10-0.15 m;LVd_Linha_0.10-0.15 m_3
LVd;33;Linha;0.20-0.25 m;1;0.92;0.94;0.3856768318;146.7911;LVd_Linha_0.20-0.25 m;LVd_Linha_0.20-0.25 m_1
LVd;33;Linha;0.20-0.25 m;2;0.87;0.93;0.3659917882;137.3884;LVd_Linha_0.20-0.25 m;LVd_Linha_0.20-0.25 m_2
LVd;33;Linha;0.20-0.25 m;3;0.37;0.99;0.3681167039;191.2381;LVd_Linha_0.20-0.25 m;LVd_Linha_0.20-0.25 m_3
LVd;100;Entrelinha;0.00-0.05 m;1;0.86;0.91;0.4078890334;101.2734;LVd_Entrelinha_0.00-0.05 m;LVd_Entrelinha_0.00-0.05 m_1
LVd;100;Entrelinha;0.00-0.05 m;2;0.94;0.96;0.4123942918;125.9602;LVd_Entrelinha_0.00-0.05 m;LVd_Entrelinha_0.00-0.05 m_2
LVd;100;Entrelinha;0.00-0.05 m;3;0.99;0.99;0.3496711751;205.7724;LVd_Entrelinha_0.00-0.05 m;LVd_Entrelinha_0.00-0.05 m_3
LVd;100;Entrelinha;0.10-0.15 m;1;0.93;0.95;0.3733369171;204.295;LVd_Entrelinha_0.10-0.15 m;LVd_Entrelinha_0.10-0.15 m_1
LVd;100;Entrelinha;0.10-0.15 m;2;1.03;1.04;0.3449104675;228.7268;LVd_Entrelinha_0.10-0.15 m;LVd_Entrelinha_0.10-0.15 m_2
LVd;100;Entrelinha;0.10-0.15 m;3;0.91;0.94;0.3516332693;188.7473;LVd_Entrelinha_0.10-0.15 m;LVd_Entrelinha_0.10-0.15 m_3
LVd;100;Entrelinha;0.20-0.25 m;1;0.87;0.91;0.3660930166;104.4904;LVd_Entrelinha_0.20-0.25 m;LVd_Entrelinha_0.20-0.25 m_1
LVd;100;Entrelinha;0.20-0.25 m;2;0.89;0.93;0.3617472434;154.7969;LVd_Entrelinha_0.20-0.25 m;LVd_Entrelinha_0.20-0.25 m_2
LVd;100;Entrelinha;0.20-0.25 m;3;0.94;0.97;0.3453114754;199.7799;LVd_Entrelinha_0.20-0.25 m;LVd_Entrelinha_0.20-0.25 m_3
LVd;100;Linha;0.00-0.05 m;1;0.81;0.83;0.3852320025;80.629;LVd_Linha_0.00-0.05 m;LVd_Linha_0.00-0.05 m_1
LVd;100;Linha;0.00-0.05 m;2;0.84;0.84;0.3729617551;92.9912;LVd_Linha_0.00-0.05 m;LVd_Linha_0.00-0.05 m_2
LVd;100;Linha;0.00-0.05 m;3;0.89;0.94;0.3761494253;145.849;LVd_Linha_0.00-0.05 m;LVd_Linha_0.00-0.05 m_3
LVd;100;Linha;0.10-0.15 m;1;0.82;0.86;0.3661673476;135.277;LVd_Linha_0.10-0.15 m;LVd_Linha_0.10-0.15 m_1
LVd;100;Linha;0.10-0.15 m;2;0.87;0.87;0.3442718165;86.6005;LVd_Linha_0.10-0.15 m;LVd_Linha_0.10-0.15 m_2
LVd;100;Linha;0.10-0.15 m;3;0.84;0.92;0.3438192291;169.1007;LVd_Linha_0.10-0.15 m;LVd_Linha_0.10-0.15 m_3
LVd;100;Linha;0.20-0.25 m;1;0.88;0.9;0.3637203573;264.5043;LVd_Linha_0.20-0.25 m;LVd_Linha_0.20-0.25 m_1
LVd;100;Linha;0.20-0.25 m;2;0.89;0.91;0.339198436;111.7857;LVd_Linha_0.20-0.25 m;LVd_Linha_0.20-0.25 m_2
LVd;100;Linha;0.20-0.25 m;3;0.84;0.89;0.3424511002;150.3193;LVd_Linha_0.20-0.25 m;LVd_Linha_0.20-0.25 m_3
LVd;1500;Entrelinha;0.00-0.05 m;1;0.94;1.03;0.3108090097;256.5417;LVd_Entrelinha_0.00-0.05 m;LVd_Entrelinha_0.00-0.05 m_1
LVd;1500;Entrelinha;0.00-0.05 m;2;0.9;0.94;0.3089119738;282.0199;LVd_Entrelinha_0.00-0.05 m;LVd_Entrelinha_0.00-0.05 m_2
LVd;1500;Entrelinha;0.00-0.05 m;3;1;1.04;0.3031584183;416.1858;LVd_Entrelinha_0.00-0.05 m;LVd_Entrelinha_0.00-0.05 m_3
LVd;1500;Entrelinha;0.10-0.15 m;1;0.93;0.98;0.302758436;392.8533;LVd_Entrelinha_0.10-0.15 m;LVd_Entrelinha_0.10-0.15 m_1
LVd;1500;Entrelinha;0.10-0.15 m;2;1;1.04;0.3173869598;316.0145;LVd_Entrelinha_0.10-0.15 m;LVd_Entrelinha_0.10-0.15 m_2
LVd;1500;Entrelinha;0.10-0.15 m;3;0.93;0.97;0.3194369973;319.9417;LVd_Entrelinha_0.10-0.15 m;LVd_Entrelinha_0.10-0.15 m_3
