solo;tensao;posi;prof;rep;dsi;dsp;thetai;ppc;trt;ue
LVAd;1500;Linha;0.10-0.15 m;3;0.94;1.07;0.31;183.6294;LVAd_Linha_0.10-0.15 m;LVAd_Linha_0.10-0.15 m_3
LVAd;1500;Linha;0.20-0.25 m;1;0.97;1.2;0.34;310.1772;LVAd_Linha_0.20-0.25 m;LVAd_Linha_0.20-0.25 m_1
LVAd;1500;Linha;0.20-0.25 m;2;0.92;1.1;0.32;231.8564;LVAd_Linha_0.20-0.25 m;LVAd_Linha_0.20-0.25 m_2
LVAd;1500;Linha;0.20-0.25 m;3;0.9;1.2;0.3;288.0363;LVAd_Linha_0.20-0.25 m;LVAd_Linha_0.20-0.25 m_3
LVAd;3000;Entrelinha;0.00-0.05 m;1;1.06;1.07;0.12;423.9807;LVAd_Entrelinha_0.00-0.05 m;LVAd_Entrelinha_0.00-0.05 m_1
LVAd;3000;Entrelinha;0.00-0.05 m;2;1.07;1.09;0.14;495.3049;LVAd_Entrelinha_0.00-0.05 m;LVAd_Entrelinha_0.00-0.05 m_2
LVAd;3000;Entrelinha;0.00-0.05 m;3;1.15;1.15;0.17;430.0695;LVAd_Entrelinha_0.00-0.05 m;LVAd_Entrelinha_0.00-0.05 m_3
LVAd;3000;Entrelinha;0.10-0.15 m;1;1.09;1.1;0.16;340.5179;LVAd_Entrelinha_0.10-0.15 m;LVAd_Entrelinha_0.10-0.15 m_1
LVAd;3000;Entrelinha;0.10-0.15 m;2;1.09;1.2;0.29;310.0841;LVAd_Entrelinha_0.10-0.15 m;LVAd_Entrelinha_0.10-0.15 m_2
LVAd;3000;Entrelinha;0.10-0.15 m;3;1.16;1.17;0.16;316.1632;LVAd_Entrelinha_0.10-0.15 m;LVAd_Entrelinha_0.10-0.15 m_3
LVAd;3000;Entrelinha;0.20-0.25 m;1;1.03;1.05;0.13;273.1044;LVAd_Entrelinha_0.20-0.25 m;LVAd_Entrelinha_0.20-0.25 m_1
LVAd;3000;Entrelinha;0.20-0.25 m;2;1.11;1.12;0.15;359.816;LVAd_Entrelinha_0.20-0.25 m;LVAd_Entrelinha_0.20-0.25 m_2
LVAd;3000;Entrelinha;0.20-0.25 m;3;1.18;1.18;0.17;398.0053;LVAd_Entrelinha_0.20-0.25 m;LVAd_Entrelinha_0.20-0.25 m_3
LVAd;3000;Linha;0.00-0.05 m;1;0.92;0.95;0.11;402.7517;LVAd_Linha_0.00-0.05 m;LVAd_Linha_0.00-0.05 m_1
LVAd;3000;Linha;0.00-0.05 m;2;0.97;0.98;0.11;412.1432;LVAd_Linha_0.00-0.05 m;LVAd_Linha_0.00-0.05 m_2
LVAd;3000;Linha;0.00-0.05 m;3;1.15;1.16;0.14;535.2383;LVAd_Linha_0.00-0.05 m;LVAd_Linha_0.00-0.05 m_3
LVAd;3000;Linha;0.10-0.15 m;1;0.92;0.96;0.12;363.0079;LVAd_Linha_0.10-0.15 m;LVAd_Linha_0.10-0.15 m_1
LVAd;3000;Linha;0.10-0.15 m;2;1;0.96;0.15;397.7008;LVAd_Linha_0.10-0.15 m;LVAd_Linha_0.10-0.15 m_2
LVAd;3000;Linha;0.10-0.15 m;3;1.01;1.01;0.15;491.0972;LVAd_Linha_0.10-0.15 m;LVAd_Linha_0.10-0.15 m_3
LVAd;3000;Linha;0.20-0.25 m;1;1;0.99;0.13;390.231;LVAd_Linha_0.20-0.25 m;LVAd_Linha_0.20-0.25 m_1
LVAd;3000;Linha;0.20-0.25 m;2;1.02;1.03;0.17;430.3162;LVAd_Linha_0.20-0.25 m;LVAd_Linha_0.20-0.25 m_2
LVAd;3000;Linha;0.20-0.25 m;3;0.93;0.96;0.11;351.6498;LVAd_Linha_0.20-0.25 m;LVAd_Linha_0.20-0.25 m_3
